sl,players_name,matches,most_runs,year
1,Shaun Marsh (Orange Cap 2008),11,616,2008
2,Gautam Gambhir,14,534,2008
3,Sanath Jayasuriya,14,518,2008
4,Shane Watson,15,472,2008
5,Graeme Smith,11,441,2008
6,Adam Gilchrist,14,436,2008
7,Yusuf Pathan,16,435,2008
8,Suresh Raina,16,421,2008
9,MS Dhoni,16,414,2008
10,Virender Sehwag,14,406,2008
1,Matthew Hayden (Orange Cap 2009),12,572,2009
2,Adam Gilchrist,16,495,2009
3,Suresh Raina,14,434,2009
4,JP Duminy,13,372,2009
5,Herschelle Gibbs,14,371,2009
6,Brad Hodge,12,365,2009
7,Sachin Tendulkar,13,364,2009
8,Rohit Sharma,16,362,2009
9,Jacques Kallis,15,361,2009
10,Yuvraj Singh,14,340,2009
1,Sachin Tendulkar (Orange Cap 2010),15,618,2010
2,Jacques Kallis,16,572,2010
3,Suresh Raina,16,520,2010
4,Sourav Ganguly,14,493,2010
5,Murali Vijay,15,458,2010
6,Mahela Jayawardena,13,439,2010
7,Andrew Symonds,16,429,2010
8,Saurabh Tiwary,16,419,2010
9,Rohit Sharma,16,404,2010
10,Naman Ojha,14,377,2010
1,Chris Gayle (Orange Cap 2011),12,608,2011
2,Virat Kohli,16,557,2011
3,Sachin Tendulkar,16,553,2011
4,Shaun Marsh,14,504,2011
5,Michael Hussey,14,492,2011
6,Paul Valthaty,14,463,2011
7,Suresh Raina,16,438,2011
8,Murali Vijay,16,434,2011
9,Virender Sehwag,11,424,2011
10,Jacques Kallis,15,424,2011
1,Chris Gayle (Orange Cap 2012),15,733,2012
2,Gautam Gambhir,17,590,2012
3,Shikhar Dhawan,15,569,2012
4,Ajinkya Rahane,16,560,2012
5,Virender Sehwag,16,495,2012
6,Cameron White,13,479,2012
7,Rahul Dravid,16,462,2012
8,Suresh Raina,19,441,2012
9,Rohit Sharma,17,433,2012
10,Mandeep Singh,16,432,2012
1,Michael Hussey (Orange Cap 2013),17,733,2013
2,Chris Gayle,16,708,2013
3,Virat Kohli,16,634,2013
4,Suresh Raina,18,548,2013
5,Shane Watson,16,543,2013
6,Rohit Sharma,19,538,2013
7,Dinesh Karthik,19,510,2013
8,Ajinkya Rahane,18,488,2013
9,Rahul Dravid,18,471,2013
10,MS Dhoni,18,461,2013
1,Robin Uthappa (Orange Cap 2014),16,660,2014
2,Dwayne Smith,16,566,2014
3,Glenn Maxwell,16,552,2014
4,David Warner,14,528,2014
5,Suresh Raina,16,523,2014
6,Virender Sehwag,17,455,2014
7,David Miller,16,446,2014
8,JP Duminy,14,410,2014
9,Brendon McCullum,14,405,2014
10,Manish Pandey,16,401,2014
1,David Warner (Orange Cap 2015),14,562,2015
2,Lendl Simmons,13,540,2015
3,Ajinkya Rahane,14,540,2015
4,Ab De Villiers,16,513,2015
5,Virat Kohli,16,505,2015
6,Chris Gayle,14,491,2015
7,Rohit Sharma,16,482,2015
8,Shreyas Lyer,14,439,2015
9,Brendon McCullum,14,436,2015
10,Kieron Pollard,16,419,2015
1,Virat Kohli (Orange Cap 2016),16,973,2016
2,David Warner,17,848,2016
3,AB De Villiers,16,687,2016
4,Gautam Gambhir,15,501,2016
5,Shikhar Dhawan,17,501,2016
6,Rohit Sharma,14,489,2016
7,Ajinkya Rahane,14,480,2016
8,Murali Vijay,14,453,2016
9,Quinton De Kock,13,445,2016
10,Suresh Raina,15,399,2016
1,David Warner (Orange Cap 2017),14,641,2017
2,Gautam Gambhir,16,498,2017
3,Shikhar Dhawan,14,479,2017
4,Steve Smith,15,472,2017
5,Suresh Raina,14,442,2017
6,Hashim Amla,10,420,2017
7,Manish Pandey,14,396,2017
8,Parthiv Patel,16,395,2017
9,Rahul Tripathi,14,391,2017
10,Robin Uthappa,14,388,2017
1,Virat Kohli (Orange Cap 2016),16,973,2018
2,David Warner,17,848,2018
3,AB De Villiers,16,687,2018
4,Gautam Gambhir,15,501,2018
5,Shikhar Dhawan,17,501,2018
6,Rohit Sharma,14,489,2018
7,Ajinkya Rahane,14,480,2018
8,Murali Vijay,14,453,2018
9,Quinton De Kock,13,445,2018
10,Suresh Raina,15,399,2018
1,David Warner (Orange Cap 2019),12,692,2019
2,KL Rahul,14,593,2019
3,Quinton De Kock,16,529,2019
4,Shikhar Dhawan,16,521,2019
5,Andre Russell,14,510,2019
6,Chris Gayle,13,490,2019
7,Rishabh Pant,16,488,2019
8,Virat Kohli,14,464,2019
9,Shreyas Iyer,16,463,2019
10,Jonny Bairstow,10,445,2019
1,KL Rahul (Orange Cap 2020),14,670,2020
2,Shikhar Dhawan,17,618,2020
3,David Warner,16,548,2020
4,Shreyas Iyer,17,519,2020
5,Ishan Kishan,14,516,2020
6,Quinton De Kock,16,503,2020
7,Suryakumar Yadav,16,480,2020
8,Devdutt Padikkal,15,473,2020
9,Virat Kohli,15,466,2020
10,AB De Villiers,15,454,2020
1,Ruturaj Gaikwad (Orange Cap 2021),16,635,2021
2,Faf Du Plessis,16,633,2021
3,KL Rahul,13,626,2021
4,Shikhar Dhawan,16,587,2021
5,Glenn Maxwell,15,513,2021
6,Sanju Samson,14,484,2021
7,Prithvi Shaw,15,479,2021
8,Shubman Gill,17,478,2021
9,Mayank Agarwal,12,441,2021
10,Rishabh Pant,16,419,2021
1,Jos Buttler (RR) (Orange Cap 2022),17,863,2022
2,KL Rahul (LSG),15,616,2022
3,Quinton De Kock (LSG),15,508,2022
4,Hardik Pandya (GT),15,487,2022
5,Shubman Gill (GT),16,483,2022
6,David Miller (GT),16,481,2022
7,Faf Du Plessis (RCB),16,468,2022
8,Shikhar Dhawan (PBKS),14,460,2022
9,Sanju Samson (RR),17,458,2022
10,Deepak Hooda (LSG),15,451,2022